City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,64.17,46,36,8.9,US,1685055505
1,Kingscliff,-28.2667,153.5667,66.76,68,18,11.5,AU,1685056027
2,Cidreira,-30.1811,-50.2056,69.06,90,4,11.52,BR,1685056028
3,Ushuaia,-54.8,-68.3,35.26,80,20,10.36,AR,1685055744
4,Longyearbyen,78.2186,15.6401,31.84,93,100,23.02,SJ,1685056028
5,Luderitz,-26.6481,15.1594,53.28,83,0,9.44,NA,1685056029
6,Atafu Village,-8.5421,-172.5159,83.5,73,32,9.46,TK,1685056029
7,Hilo,19.7297,-155.09,80.33,80,40,16.11,US,1685055897
8,St. John'S,47.5649,-52.7093,40.68,94,100,8.05,CA,1685055927
9,Hermanus,-34.4187,19.2345,49.8,66,29,13.94,ZA,1685056030
10,Dudinka,69.4058,86.1778,34.63,93,83,11.12,RU,1685056031
11,El Granada,37.5027,-122.4694,74.86,71,100,20.71,US,1685056031
12,Margaret River,-33.95,115.0667,46.36,80,0,7.31,AU,1685056031
13,Constitucion,-35.3333,-72.4167,52.83,79,26,5.37,CL,1685056032
14,Waitangi,-43.9535,-176.5597,58.82,81,6,4.0,NZ,1685056032
15,Port-Aux-Francais,-49.35,70.2167,41.68,99,99,19.06,TF,1685056032
16,Kailua-Kona,19.6406,-155.9956,81.5,81,75,8.05,US,1685056033
17,Minas De Marcona,-15.2119,-75.1103,60.28,80,14,11.88,PE,1685056033
18,Nadym,65.5333,72.5167,52.65,55,99,13.6,RU,1685056011
19,Anadyr,64.75,177.4833,32.5,93,75,6.71,RU,1685056034
20,Fale Old Settlement,-9.3852,-171.2468,83.23,74,16,10.96,TK,1685056034
21,Flying Fish Cove,-10.4217,105.6791,78.48,83,100,12.66,CX,1685056035
22,Afaahiti,-17.75,-149.2833,84.07,75,28,7.92,PF,1685056035
23,Puerto Natales,-51.7236,-72.4875,33.85,89,96,5.55,CL,1685056035
24,Port Mathurin,-19.6833,63.4167,77.47,76,13,13.13,MU,1685056036
25,Utrik,11.2278,169.8474,82.27,80,100,19.17,MH,1685056037
26,La Passe,45.5549,-0.8967,61.03,78,0,16.53,FR,1685056037
27,Tazovsky,67.4667,78.7,38.7,85,100,10.87,RU,1685056037
28,Porto Velho,-8.7619,-63.9039,77.05,94,20,3.44,BR,1685055792
29,Tafi Viejo,-26.732,-65.2592,69.64,88,40,4.61,AR,1685056038
